gains_losses,value,case,zone,flux,heat_direction,HEI
east_extWindow,-43184.04635122437,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.015976961425444688
east_frame,70.241781466101,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,2.5987611809484656e-05
east_frame,-9152.409982987308,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.0033861509886948605
heating,35306.487077609825,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.013062471671113797
internal,402620.11101110105,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.14895885231352893
none_extRoof,123870.36332827507,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.04582877668654497
none_extRoof,-20235.09076029776,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.0074864514058785815
none_intFloor,145074.57441172632,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.05367377712448291
none_intFloor,-61917.546606191216,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.022907863835627873
north_extWall,196464.77673224738,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.07268680043968885
north_extWall,-36633.00054181562,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.013553246766054574
south_intWall,125443.23932364538,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.046410699438772816
south_intWall,-33622.63164479591,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.012439489445750133
vn_interzone,30580.91537484165,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.011314134421884269
vn_interzone,-298037.4217453684,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.11026600777140315
vn_window,44.21840580904705,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,1.6359647221566435e-05
vn_window,-336882.0758761369,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.12463750819969575
west_extWall,33233.62325702077,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.012295566573050604
west_extWall,-12067.55995014925,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.004464679809174699
west_intWall,103046.61951989275,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,gain,0.03812453913423338
west_intWall,-25880.798423616874,U001_Caso01_1a7_hi_in1.csv,DORM2,convection,loss,0.00957521476127521
cooling,-2054285.4062986942,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.28561738632209377
east_extWall,78894.71088121526,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.010969119016977304
east_extWall,-18433.99703611374,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.002562969116550539
east_intWall,363130.3050270762,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.050487789232290234
east_intWall,-27190.33437989652,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.003780405689977738
heating,7421.2598977275375,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.0010318142010388753
internal,808845.6037752177,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.11245777562360926
none_extRoof,479477.8443621878,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.0666641588779157
none_extRoof,-38122.96427877502,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.0053004229026641205
none_intFloor,470603.93261911,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.06543037535847891
none_intFloor,-54700.89632641105,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.007605334190819674
